client_id,name,email,signup_date,segment,country,age
C100012,Omar Thomas,user12@example.com,17/03/2024,plus,FR,
C100444,Yanis Durand,user444@example.com,2023/11/02,basic,FR,57.0
C100283,Yanis Moreau,user283@example.com,2023/10/22,basic,FR,26.0
C100267,Sarah Robert,user267@example.com,2023-07-28,basic,FR,61.0
C100626,Emma Dubois,user626@example.com,2023-07-22,basic,FR,54.0
C100489,Noah Petit,user489@example.com,2023-12-30,basic,FR,82.0
C100316,Noah Thomas,user316@example.com,2024-03-14,basic,FR,16.0
C100057,Omar Moreau,user57@example.com,03/04/2023,plus,FR,48.0
C100334,Emma Petit,user334@example.com,2023-10-04,basic,FR,65.0
C100818,Hugo Durand,user818@example.com,2024-02-04,plus,FR,47.0
C100071,Emma Leroy,user71@example.com,2023-04-24,basic,FR,57.0
C101124,Noah Richard,user1124@example.com,2024/05/19,basic,FR,41.0
C100254,Emma Bernard,user254@example.com,32/13/2025,basic,FR,63.0
C100097,Hugo Petit,user97@example.com,2024-02-14,basic,FR,18.0
C100716,Yanis Durand,user716@example.com,2023/11/07,plus,FR,
C100121,Camille Bernard,user121@example.com,06/02/2024,basic,FR,57.0
C100132,Jules Petit,user132@example.com,2023-02-24,basic,FR,23.0
C100220,Jules Petit,user220@example.com,2023/03/18,plus,FR,0.0
C100162,Omar Bernard,user162@example.com,03/09/2023,plus,FR,82.0
C100217,Omar Moreau,user217@example.com,2023-02-27,basic,FR,35.0
C100286,Inès Petit,user286@example.com,07/04/2023,premium,FR,73.0
C100976,Hugo Richard,,2023-02-27,basic,FR,74.0
C100246,Omar Moreau,user246@example.com,2024-03-30,premium,FR,53.0
C100792,Yanis Leroy,user792@example.com,09/03/2024,basic,FR,71.0
C100033,Omar Robert,user33@example.com,29/11/2023,,FR,28.0
C100045,Alex Thomas,user45@example.com,05/08/2024,basic,FR,65.0
C100577,Nina Leroy,user577@example.com,11/11/2023,basic,FR,82.0
C100540,Yanis Thomas,user540@example.com,2024/03/01,basic,FR,58.0
C101045,Yanis Dubois,user1045@example.com,2023/04/03,basic,FR,37.0
C100730,Omar Durand,user730@example.com,2024-03-13,plus,FR,47.0
C100604,Yanis Robert,user604@example.com,10/05/2024,plus,FR,77.0
C101031,Hugo Dubois,user1031@example.com,14/04/2023,plus,FR,46.0
C100199,Sarah Martin,user199@example.com,2024-07-31,basic,FR,31.0
C100634,Jules Thomas,user634@example.com,2023/04/20,basic,FR,65.0
C100890,Camille Petit,user890@example.com,2023-03-01,basic,FR,35.0
C100319,Léa Durand,user319@example.com,2024-04-06,basic,FR,30.0
C100051,Omar Durand,user51@example.com,27/04/2023,basic,FR,39.0
C100641,Camille Durand,user641@example.com,03/07/2024,plus,FR,29.0
C100968,Alex Petit,user968@example.com,2024/07/06,basic,FR,44.0
C100136,Léa Bernard,user136@example.com,28/12/2023,basic,FR,80.0
C100131,Léa Durand,,2023-11-29,basic,FR,78.0
C100370,Camille Moreau,user370@example.com,2023/07/21,basic,FR,41.0
C100419,Noah Leroy,user419@example.com,32/13/2025,basic,FR,80.0
C100086,Yanis Martin,user86@example.com,28/02/2023,basic,FR,26.0
C100544,Léa Dubois,,13/05/2024,,FR,21.0
C100196,Léa Durand,user196@example.com,25/07/2023,basic,FR,69.0
C100831,Nina Dubois,user831@example.com,2023/05/25,,FR,74.0
C100743,Jules Leroy,user743@example.com,12/06/2023,basic,FR,29.0
C100520,Alex Thomas,user520@example.com,2023-08-03,basic,FR,43.0
C100908,Nina Thomas,user908@example.com,2023-08-11,basic,FR,44.0
C101191,Omar Thomas,user1191@example.com,16/06/2023,plus,FR,-5.0
C101181,Hugo Durand,user1181@example.com,2024-07-10,basic,FR,31.0
C100858,Yanis Moreau,user858@example.com,06/02/2024,basic,FR,26.0
C100165,Alex Moreau,user165@example.com,03/05/2024,,FR,23.0
C100602,Yanis Robert,user602@example.com,19/03/2024,basic,FR,24.0
C100354,Emma Martin,user354@example.com,2024/08/04,basic,FR,72.0
C101040,Sarah Durand,user1040@example.com,2024-02-28,basic,FR,48.0
C101048,Emma Richard,user1048@example.com,06/02/2024,basic,FR,81.0
C101061,Hugo Bernard,user1061@example.com,2024-02-17,premium,FR,63.0
C100423,Sarah Thomas,,15/12/2023,basic,FR,52.0
C100692,Alex Robert,user692@example.com,12/07/2024,plus,FR,79.0
C100308,Sarah Durand,user308@example.com,09/07/2023,basic,FR,45.0
C100975,Noah Bernard,user975@example.com,2023/05/16,plus,FR,84.0
C100997,Omar Durand,user997@example.com,2023/08/05,basic,FR,49.0
C100269,Hugo Moreau,user269@example.com,21/12/2023,,FR,73.0
C100230,Inès Thomas,user230@example.com,2023/10/05,premium,FR,53.0
C100326,Nina Robert,user326@example.com,22/05/2023,,FR,72.0
C100568,Camille Durand,user568@example.com,2024-01-21,basic,FR,21.0
C100365,Jules Robert,,2023-11-08,basic,FR,24.0
C101081,Sarah Thomas,user1081@example.com,2024/08/16,,FR,53.0
C100715,Emma Bernard,user715@example.com,2024-04-24,basic,FR,45.0
C100399,Jules Durand,user399@example.com,2023-07-06,basic,FR,73.0
C100550,Hugo Moreau,user550@example.com,2024-04-26,plus,FR,64.0
C100845,Yanis Robert,user845@example.com,2023/01/04,basic,FR,77.0
C101169,Léa Leroy,user1169@example.com,2024/07/04,basic,FR,52.0
C100537,Yanis Robert,user537@example.com,2023-03-11,basic,FR,
C101126,Yanis Leroy,user1126@example.com,27/05/2024,basic,FR,31.0
C101136,Emma Durand,user1136@example.com,2024/03/10,premium,FR,20.0
C100643,Inès Petit,user643@example.com,2023-10-16,premium,FR,30.0
C100512,Sarah Petit,user512@example.com,2024/05/19,premium,FR,20.0
C100353,Inès Bernard,user353@example.com,2023/09/19,basic,FR,53.0
C100684,Alex Martin,user684@example.com,2023-04-12,,FR,21.0
C100352,Alex Richard,user352@example.com,2023-06-29,basic,FR,76.0
C100425,Nina Bernard,user425@example.com,2023/04/30,plus,FR,16.0
C100870,Jules Richard,user870@example.com,2023/10/01,premium,FR,35.0
C100386,Noah Leroy,user386@example.com,2023/02/10,basic,FR,72.0
C100013,Yanis Moreau,user13@example.com,2024/04/01,basic,FR,34.0
C100935,Nina Thomas,user935@example.com,18/07/2024,basic,FR,49.0
C100654,Hugo Leroy,user654@example.com,2023-11-28,plus,FR,81.0
C100299,Nina Durand,user299@example.com,2023/01/13,plus,FR,23.0
C100557,Nina Thomas,,2024-06-09,premium,FR,35.0
C100872,Omar Petit,user872@example.com,10/03/2023,basic,FR,63.0
C100148,Emma Durand,user148@example.com,2024-05-08,basic,FR,22.0
C100525,Sarah Leroy,user525@example.com,06/07/2023,basic,FR,73.0
C100748,Emma Petit,user748@example.com,07/07/2023,basic,FR,43.0
C100680,Sarah Thomas,user680@example.com,2024/03/10,,FR,17.0
C100545,Camille Robert,user545@example.com,2023-02-02,plus,FR,65.0
C100921,Alex Durand,user921@example.com,2023/12/10,basic,FR,51.0
C101049,Noah Bernard,user1049@example.com,2023/03/13,,FR,84.0
C100434,Inès Richard,user434@example.com,2023-09-18,premium,FR,60.0
C100458,Inès Leroy,,2024/05/19,basic,FR,40.0
C100486,Sarah Durand,,20/07/2023,basic,FR,61.0
C100492,Yanis Bernard,user492@example.com,28/03/2024,basic,FR,16.0
C101166,Jules Petit,user1166@example.com,32/13/2025,basic,FR,66.0
C100561,Alex Richard,user561@example.com,27/01/2023,basic,FR,41.0
C100819,Noah Richard,user819@example.com,22/08/2024,basic,FR,47.0
C101012,Jules Durand,user1012@example.com,28/05/2023,premium,FR,54.0
C100542,Jules Petit,user542@example.com,27/04/2023,basic,FR,63.0
C100203,Léa Petit,user203@example.com,24/02/2024,basic,FR,31.0
C100932,Omar Leroy,user932@example.com,2023/06/04,premium,FR,-5.0
C100284,Camille Durand,user284@example.com,22/09/2023,plus,FR,59.0
C100446,Jules Martin,user446@example.com,2023-07-08,basic,FR,71.0
C100573,Camille Durand,user573@example.com,30/01/2023,premium,FR,28.0
C100556,Omar Durand,user556@example.com,17/03/2024,basic,FR,30.0
C100791,Emma Moreau,,30/09/2023,plus,FR,82.0
C101058,Léa Moreau,user1058@example.com,2023/09/12,basic,FR,
C100008,Inès Thomas,user8@example.com,2023/05/01,basic,FR,26.0
C100883,Nina Robert,user883@example.com,04/04/2023,basic,FR,58.0
C100675,Yanis Thomas,user675@example.com,11/03/2024,plus,FR,66.0
C100213,Nina Thomas,user213@example.com,2023-09-27,premium,FR,45.0
C101087,Emma Dubois,user1087@example.com,2024/08/17,plus,FR,67.0
C100672,Omar Robert,user672@example.com,2024/01/17,premium,FR,30.0
C100807,Emma Richard,user807@example.com,2023-03-08,basic,FR,53.0
C100390,Omar Moreau,,24/03/2024,basic,FR,52.0
C100198,Camille Petit,user198@example.com,2023-07-23,plus,FR,34.0
C100811,Yanis Bernard,user811@example.com,2024-06-11,basic,FR,18.0
C100875,Camille Richard,user875@example.com,30/10/2023,basic,FR,44.0
C100691,Jules Moreau,user691@example.com,22/04/2024,plus,FR,45.0
C101187,Noah Bernard,user1187@example.com,2023-12-26,basic,FR,67.0
C100657,Emma Durand,user657@example.com,2024/01/15,basic,FR,29.0
C101047,Camille Richard,user1047@example.com,2023-12-27,plus,FR,43.0
C100193,Sarah Moreau,user193@example.com,2023-08-06,basic,FR,44.0
C100628,Emma Martin,user628@example.com,2023-10-31,premium,FR,44.0
C100796,Alex Martin,,2024/08/03,basic,FR,29.0
C100832,Inès Bernard,user832@example.com,2023/09/29,basic,FR,-5.0
C100287,Yanis Petit,user287@example.com,10/12/2023,basic,FR,81.0
C100601,Yanis Robert,user601@example.com,12/04/2024,plus,FR,59.0
C100222,Noah Richard,user222@example.com,27/02/2024,basic,FR,82.0
C100244,Omar Moreau,user244@example.com,2024/01/13,basic,FR,72.0
C100228,Inès Durand,user228@example.com,2023/11/25,plus,FR,77.0
C100505,Emma Durand,user505@example.com,30/09/2023,premium,FR,78.0
C100439,Léa Robert,user439@example.com,2023-08-27,plus,FR,68.0
C100133,Jules Robert,user133@example.com,02/12/2023,premium,FR,17.0
C100392,Inès Bernard,,2023-08-09,premium,FR,
C100126,Emma Bernard,user126@example.com,17/02/2023,basic,FR,70.0
C100823,Omar Leroy,user823@example.com,26/01/2024,basic,FR,
C101150,Emma Moreau,user1150@example.com,2023-08-10,basic,FR,62.0
C100533,Omar Bernard,user533@example.com,2023-06-20,basic,FR,140.0
C100247,Inès Robert,user247@example.com,07/09/2023,basic,FR,81.0
C100349,Sarah Bernard,user349@example.com,2023-04-09,basic,FR,54.0
C100212,Nina Martin,user212@example.com,2024/04/18,plus,FR,40.0
C101075,Léa Dubois,user1075@example.com,09/04/2023,basic,FR,79.0
C100856,Yanis Moreau,user856@example.com,27/05/2023,premium,FR,79.0
C101006,Léa Robert,user1006@example.com,2024/05/25,plus,FR,44.0
C100779,Camille Martin,user779@example.com,25/05/2024,basic,FR,23.0
C101162,Yanis Dubois,user1162@example.com,2024-05-23,basic,FR,82.0
C101155,Jules Thomas,user1155@example.com,2023/12/19,,FR,43.0
C100855,Léa Petit,user855@example.com,2024/05/24,basic,FR,49.0
C101152,Camille Petit,user1152@example.com,16/09/2023,basic,FR,45.0
C100521,Léa Richard,user521@example.com,2023-03-29,basic,FR,19.0
C100388,Hugo Leroy,user388@example.com,19/06/2024,basic,FR,20.0
C100878,Sarah Robert,user878@example.com,2023/11/25,basic,FR,26.0
C100416,Nina Durand,,04/08/2024,basic,FR,41.0
C100613,Yanis Bernard,user613@example.com,20/08/2023,basic,FR,55.0
C100309,Camille Robert,user309@example.com,2023/03/07,plus,FR,37.0
C100612,Inès Petit,user612@example.com,2024/04/15,,FR,31.0
C100697,Jules Martin,user697@example.com,21/12/2023,basic,FR,74.0
C101095,Emma Moreau,user1095@example.com,2023/02/18,basic,FR,60.0
C100347,Nina Petit,user347@example.com,2024-07-15,plus,FR,53.0
C100965,Camille Leroy,user965@example.com,19/12/2023,basic,FR,42.0
C100926,Sarah Durand,user926@example.com,21/11/2023,basic,FR,20.0
C100452,Jules Dubois,user452@example.com,2023-10-27,basic,FR,25.0
C100219,Inès Dubois,user219@example.com,25/06/2024,premium,FR,45.0
C100724,Léa Robert,user724@example.com,2024-04-16,basic,FR,65.0
C100656,Inès Bernard,user656@example.com,2024/04/04,basic,FR,35.0
C100104,Inès Thomas,,2024-04-23,plus,FR,70.0
C100665,Jules Petit,user665@example.com,21/02/2024,premium,FR,29.0
C100261,Inès Petit,user261@example.com,13/04/2023,basic,FR,69.0
C101170,Léa Durand,user1170@example.com,2024-01-13,basic,FR,48.0
C100649,Emma Robert,user649@example.com,24/05/2024,plus,FR,33.0
C100463,Hugo Martin,user463@example.com,09/09/2023,basic,FR,
C100980,Emma Durand,user980@example.com,2023/12/20,plus,FR,
C100362,Nina Dubois,user362@example.com,2023-05-15,premium,FR,48.0
C100843,Jules Durand,user843@example.com,2023-01-22,premium,FR,55.0
C100714,Omar Petit,user714@example.com,2024/07/06,basic,FR,
C100195,Inès Robert,user195@example.com,22/02/2023,basic,FR,20.0
C100322,Omar Moreau,user322@example.com,2024/01/04,premium,FR,33.0
C100513,Léa Martin,user513@example.com,2024/05/04,premium,FR,22.0
C100849,Sarah Durand,user849@example.com,2023/12/30,basic,FR,29.0
C100772,Camille Leroy,,2023-01-03,plus,FR,83.0
C100412,Camille Robert,user412@example.com,17/06/2023,plus,FR,59.0
C100406,Camille Thomas,user406@example.com,2023/09/18,premium,FR,54.0
C100709,Inès Moreau,user709@example.com,07/10/2023,premium,FR,59.0
C100437,Jules Robert,user437@example.com,10/07/2024,premium,FR,24.0
C100663,Camille Bernard,user663@example.com,02/05/2023,basic,FR,31.0
C100303,Noah Durand,,2024/06/21,basic,FR,55.0
C101179,Hugo Thomas,user1179@example.com,15/01/2023,plus,FR,23.0
C100456,Omar Moreau,user456@example.com,30/03/2023,basic,FR,24.0
C100821,Camille Thomas,user821@example.com,2024-02-04,basic,FR,69.0
C100361,Yanis Robert,,18/06/2024,,FR,
C100636,Nina Leroy,user636@example.com,2023/05/22,basic,FR,69.0
C100763,Emma Robert,user763@example.com,15/07/2024,basic,FR,74.0
C100519,Yanis Petit,user519@example.com,2023/12/23,,FR,53.0
C100917,Léa Leroy,,32/13/2025,basic,FR,79.0
C100432,Sarah Bernard,user432@example.com,2024/05/10,plus,FR,53.0
C100129,Camille Thomas,user129@example.com,16/01/2024,basic,FR,26.0
C100123,Nina Petit,user123@example.com,2023/10/10,plus,FR,25.0
C100595,Jules Dubois,user595@example.com,2024-04-26,basic,FR,83.0
C101002,Sarah Bernard,,2023-12-01,premium,FR,74.0
C100644,Léa Richard,user644@example.com,2024/04/07,basic,FR,-5.0
C100682,Camille Thomas,user682@example.com,2024-07-29,basic,FR,41.0
C100138,Alex Bernard,user138@example.com,28/07/2023,premium,FR,79.0
C100455,Camille Leroy,user455@example.com,30/11/2023,basic,FR,31.0
C100589,Nina Martin,user589@example.com,2024-05-21,basic,FR,49.0
C100955,Hugo Leroy,user955@example.com,02/01/2024,premium,FR,
C100876,Camille Leroy,user876@example.com,2023/11/20,,FR,
C101138,Alex Bernard,user1138@example.com,22/03/2024,,FR,25.0
C100590,Sarah Richard,user590@example.com,25/04/2024,,FR,62.0
C100944,Alex Robert,user944@example.com,2023-03-19,basic,FR,34.0
C100565,Yanis Martin,user565@example.com,2023/05/23,basic,FR,67.0
C100936,Alex Richard,user936@example.com,2023-04-05,basic,FR,44.0
C100356,Inès Martin,user356@example.com,2023/04/01,premium,FR,78.0
C100610,Noah Robert,user610@example.com,2024-05-15,basic,FR,31.0
