DateComm	DateLiv	Nom	Prénom	Ancienneté	Secteur	CodePostal	Pays	TrancheHoraire	TypeFoyer	Produit	Allégé	NomGamme	NomRayon	Prix Unitaire	Quantité	Prix de Revient
15/12/2024	16/12/2024	Melanson	Paula	Récent	Paris 5	75005	France	Soirée	Couple sans enfant	Outback Lager	0	Alcools	Boissons	8.55	8	O7,54
15/12/2024	16/12/2024	Melanson	Paula	Récent	Paris 5	75005	France	Soirée	Couple sans enfant	Röd Kaviar	0	Poissons et fruits de mer	Frais	8.55	20	O7,28
10/02/2023	11/02/2023	Roy	Pascale	Récent	Le Kremlin-B.	94270	France	Soirée	Couple sans enfant	Fløtemysost	1	Produits laitiers	Frais	12.3	50	10,59
22/03/2023	24/03/2023	Robichaud	Felipe	Récent	Paris 14	75014	France	Après-Midi	Célibataire avec un enfant	Aniseed Syrup	0	Condiments	Fruits & Légumes	5.7	20	O5,4
17/05/2023	19/05/2023	Bastarache	Renate	Récent	Paris 5	75005	France	Matin	Célibataire avec un enfant	Chai	0	Sirops	Boissons	12.85	40	O8,72
17/05/2023	19/05/2023	Bastarache	Renate	Récent	Paris 5	75005	France	Matin	Célibataire avec un enfant	Northwoods Cranberry Sauce	0	Condiments	Fruits & Légumes	28.55	24	24,38
24/05/2023	26/05/2023	Boutin	Horst	Récent	Paris 5	75005	France	Soirée	Couple avec un enfant	Chef Anton's Cajun Seasoning	0	Condiments	Fruits & Légumes	15.7	50	11,92
02/06/2023	04/06/2023	Leboeuf	Maria	Récent	Ivry	94200	France	Soirée	Célibataire avec deux enfants ou plus	Chef Anton's Cajun Seasoning	0	Condiments	Fruits & Légumes	15.7	50	11,92
13/06/2024	14/06/2024	Boutin	Horst	Récent	Paris 5	75005	France	Soirée	Couple avec un enfant	Aniseed Syrup	0	Condiments	Fruits & Légumes	7.15	60	O5,4
02/11/2023	03/11/2023	Forest	Giovanni	Habitué	Ivry	94200	France	Après-Midi	Couple sans enfant	Chef Anton's Cajun Seasoning	0	Condiments	Fruits & Légumes	15.7	10	11,92
02/11/2023	03/11/2023	Forest	Giovanni	Habitué	Ivry	94200	France	Après-Midi	Couple sans enfant	Chef Anton's Gumbo Mix	0	Condiments	Fruits & Légumes	15.25	15	O9,88
01/12/2023	02/12/2023	Thibeau	Christina	Récent	Ivry	94200	France	Matin	Couple sans enfant	Chef Anton's Cajun Seasoning	0	Condiments	Fruits & Légumes	15.7	12	11,92
22/01/2024	24/01/2024	Thibeau	Christina	Récent	Ivry	94200	France	Soirée	Couple sans enfant	Chai	0	Sirops	Boissons	12.85	35	O8,72
25/01/2024	28/01/2024	Boutin	Horst	Récent	Paris 5	75005	France	Matin	Couple avec un enfant	Chai	0	Sirops	Boissons	12.85	30	O8,72
11/02/2024	13/02/2024	Blondin	Maria	Habitué	Paris 5	75005	France	Matin	Couple avec deux enfants ou plus	Aniseed Syrup	0	Condiments	Fruits & Légumes	7.15	6	O5,4
12/02/2024	14/02/2024	Leboeuf	Maria	Habitué	Ivry	94200	France	Soirée	Célibataire avec deux enfants ou plus	Chang	0	Sirops	Boissons	13.55	5	O9,83
11/07/2022	12/07/2022	Arceneaux	Michael	Récent	Paris 13	75013	France	Après-Midi	Couple avec un enfant	Chang	0	Sirops	Boissons	10.85	20	O9,83
23/08/2022	25/08/2022	Robichaud	Roland	Récent	Paris 14	75014	France	Après-Midi	Célibataire avec un enfant	Pavlova	0	Desserts	Plats	9.95	60	O8,82
22/11/2022	24/11/2022	Simon	Philip	Nouveau	Paris 5	75005	France	Soirée	Couple sans enfant	Genen Shouyu	0	Condiments	Fruits & Légumes	8.85	5	O8,01
25/11/2022	26/11/2022	Simon	Philip	Nouveau	Paris 5	75005	France	Soirée	Couple sans enfant	Konbu	1	Poissons et fruits de mer	Frais	3.45	12	O3,27
25/11/2022	26/11/2022	Simon	Philip	Nouveau	Paris 5	75005	France	Soirée	Couple sans enfant	Tofu	0	Produits secs	Fruits & Légumes	13.3	9	10,84
28/08/2022	29/08/2022	Leboeuf	Maria	Récent	Ivry	94200	France	Soirée	Célibataire avec deux enfants ou plus	Queso Cabrales	0	Produits laitiers	Frais	12	50	11,05
29/10/2024	31/10/2024	Bideau	Elizabeth	Récent	Paris 13	75013	France	Soirée	Célibataire sans enfant	Ikura	0	Poissons et fruits de mer	Frais	17.7	16	16,16
19/11/2024	20/11/2024	Robichaud	Roland	Récent	Paris 14	75014	France	Matin	Célibataire avec un enfant	Pavlova	0	Desserts	Plats	9.95	21	O8,82
05/01/2023	08/01/2023	Leboeuf	Maria	Récent	Ivry	94200	France	Matin	Célibataire avec deux enfants ou plus	Queso Cabrales	0	Produits laitiers	Frais	12	6	11,05
17/01/2023	18/01/2023	Robichaud	Roland	Récent	Paris 14	75014	France	Matin	Célibataire avec un enfant	Queso Cabrales	0	Produits laitiers	Frais	12	30	11,05
05/06/2023	06/06/2023	Lyonnais	Antonio	Récent	Paris 13	75013	France	Après-Midi	Célibataire avec un enfant	Queso Cabrales	0	Produits laitiers	Frais	15	50	11,05
16/06/2024	18/06/2024	Simon	Philip	Récent	Paris 5	75005	France	Matin	Couple sans enfant	Queso Cabrales	0	Produits laitiers	Frais	15	15	11,05
29/06/2023	01/07/2023	Lapierre	Lino	Récent	Paris 5	75005	France	Matin	Couple avec un enfant	Pavlova	0	Desserts	Plats	12.45	40	O8,82
29/07/2023	31/07/2023	Robichaud	Roland	Habitué	Paris 14	75014	France	Matin	Célibataire avec un enfant	Tofu	0	Produits secs	Fruits & Légumes	16.6	11	10,84
20/09/2023	21/09/2023	Damboue	Anabela	Récent	Paris 5	75005	France	Après-Midi	Célibataire avec deux enfants ou plus	Chef Anton's Cajun Seasoning	0	Condiments	Fruits & Légumes	15.7	20	11,92
30/10/2023	31/10/2023	Robichaud	Roland	Habitué	Paris 14	75014	France	Soirée	Célibataire avec un enfant	Queso Manchego La Pastora	0	Produits laitiers	Frais	27.15	36	23,88
30/10/2023	31/10/2023	Robichaud	Roland	Habitué	Paris 14	75014	France	Soirée	Célibataire avec un enfant	Konbu	1	Poissons et fruits de mer	Frais	4.3	13	O3,27
04/11/2023	05/11/2023	Moyse	Pirkko	Nouveau	Ivry	94200	France	Après-Midi	Célibataire avec deux enfants ou plus	Chef Anton's Cajun Seasoning	0	Condiments	Fruits & Légumes	15.7	25	11,92
16/12/2023	18/12/2023	Lapierre	Lino	Récent	Paris 5	75005	France	Matin	Couple avec un enfant	Ikura	0	Poissons et fruits de mer	Frais	22.15	24	16,16
16/01/2024	17/01/2024	Cyr	André	Récent	Paris 5	75005	France	Après-Midi	Célibataire sans enfant	Ikura	0	Poissons et fruits de mer	Frais	22.15	20	16,16
19/01/2024	21/01/2024	Rimbaut	Patricia	Nouveau	Ivry	94200	France	Soirée	Couple avec deux enfants ou plus	Mishi Kobe Niku	0	Viandes	Plats	69.3	50	47,13
31/01/2024	02/02/2024	Benoit	Matti	Habitué	Ivry	94200	France	Après-Midi	Couple sans enfant	Northwoods Cranberry Sauce	0	Condiments	Fruits & Légumes	28.55	10	24,38
05/02/2024	06/02/2024	Robichaud	Roland	Habitué	Paris 14	75014	France	Soirée	Célibataire avec un enfant	Queso Cabrales	0	Produits laitiers	Frais	15	15	11,05
08/02/2024	09/02/2024	Thibeau	Jose	Récent	Paris 13	75013	France	Soirée	Couple avec deux enfants ou plus	Chai	0	Sirops	Boissons	12.85	5	O8,72
20/02/2024	21/02/2024	Poirier	Liz	Nouveau	Paris 13	75013	France	Soirée	Couple avec deux enfants ou plus	Chef Anton's Gumbo Mix	0	Condiments	Fruits & Légumes	15.25	4	O9,88
21/02/2024	23/02/2024	Cyr	André	Récent	Paris 5	75005	France	Soirée	Célibataire sans enfant	Northwoods Cranberry Sauce	0	Condiments	Fruits & Légumes	28.55	40	24,38
29/02/2024	02/03/2024	Thibeau	Jose	Récent	Paris 13	75013	France	Matin	Couple avec deux enfants ou plus	Chang	0	Sirops	Boissons	13.55	30	O9,83
01/03/2024	02/03/2024	Babineau	Laurence	Habitué	Le Kremlin-B.	94270	France	Après-Midi	Couple avec deux enfants ou plus	Ikura	0	Poissons et fruits de mer	Frais	22.15	21	16,16
06/03/2024	07/03/2024	Simon	Philip	Habitué	Paris 5	75005	France	Soirée	Couple sans enfant	Queso Manchego La Pastora	0	Produits laitiers	Frais	27.15	36	23,88
06/03/2024	07/03/2024	Simon	Philip	Habitué	Paris 5	75005	France	Soirée	Couple sans enfant	Pavlova	0	Desserts	Plats	12.45	20	O8,82
12/03/2024	13/03/2024	Thibeau	Jose	Récent	Paris 13	75013	France	Matin	Couple avec deux enfants ou plus	Chang	0	Sirops	Boissons	13.55	3	O9,83
11/07/2022	12/07/2022	Arceneaux	Michael	Récent	Paris 13	75013	France	Après-Midi	Couple avec un enfant	Pavlova	0	Desserts	Plats	9.95	35	O8,82
17/11/2022	18/11/2022	Lort	Francisco	Récent	Paris 13	75013	France	Après-Midi	Célibataire avec un enfant	Sir Rodney's Scones	0	Desserts	Plats	5.7	10	O4,98
23/08/2022	25/08/2022	Robichaud	Roland	Récent	Paris 14	75014	France	Après-Midi	Célibataire avec un enfant	Guaraná Fantástica	0	Sirops	Boissons	2.55	28	O2,46
04/09/2022	05/09/2022	Vilatte	Bernardo	Récent	Paris 5	75005	France	Matin	Célibataire avec deux enfants ou plus	Konbu	1	Poissons et fruits de mer	Frais	3.45	20	O3,27
28/12/2022	31/12/2022	Robichaud	Roland	Récent	Paris 14	75014	France	Soirée	Célibataire avec un enfant	Sir Rodney's Scones	0	Desserts	Plats	5.7	5	O4,98
18/11/2024	20/11/2024	Robichaud	Roland	Récent	Paris 14	75014	France	Soirée	Célibataire avec un enfant	Tunnbröd	0	Pâtes et céréales	Plats	5.15	60	O4,52
15/12/2024	16/12/2024	Melanson	Paula	Récent	Paris 5	75005	France	Soirée	Couple sans enfant	Mishi Kobe Niku	0	Viandes	Plats	55.45	20	47,13
15/12/2024	16/12/2024	Melanson	Paula	Récent	Paris 5	75005	France	Soirée	Couple sans enfant	Konbu	1	Poissons et fruits de mer	Frais	3.45	2	O3,27
18/01/2023	20/01/2023	Rodrigue	Maurizio	Nouveau	Ivry	94200	France	Soirée	Célibataire avec un enfant	Queso Cabrales	0	Produits laitiers	Frais	12	6	11,05
29/01/2023	31/01/2023	Toussaint	Mary	Récent	Le Kremlin-B.	94270	France	Soirée	Célibataire avec deux enfants ou plus	Ikura	0	Poissons et fruits de mer	Frais	17.7	20	16,16
12/03/2023	13/03/2023	Toussaint	Mary	Récent	Le Kremlin-B.	94270	France	Soirée	Célibataire avec deux enfants ou plus	Ikura	0	Poissons et fruits de mer	Frais	17.7	20	16,16
05/05/2023	07/05/2023	Robichaud	Roland	Habitué	Paris 14	75014	France	Matin	Célibataire avec un enfant	Sir Rodney's Marmalade	0	Desserts	Plats	57.85	39	50,8
06/05/2023	09/05/2023	Boutin	Horst	Nouveau	Paris 5	75005	France	Après-Midi	Couple avec un enfant	Mishi Kobe Niku	0	Viandes	Plats	69.3	16	47,13
06/05/2023	09/05/2023	Boutin	Horst	Nouveau	Paris 5	75005	France	Après-Midi	Couple avec un enfant	Pavlova	0	Desserts	Plats	12.45	50	O8,82
07/06/2024	08/06/2024	Bastarache	Renate	Récent	Paris 5	75005	France	Après-Midi	Célibataire avec un enfant	Queso Manchego La Pastora	0	Produits laitiers	Frais	27.15	15	23,88
20/06/2024	21/06/2024	Levron	John	Récent	Paris 13	75013	France	Après-Midi	Couple avec un enfant	Queso Cabrales	0	Produits laitiers	Frais	15	10	11,05
01/08/2023	02/08/2023	Lyonnais	Antonio	Récent	Paris 13	75013	France	Soirée	Célibataire avec un enfant	Alice Mutton	0	Viandes	Plats	27.85	18	23,33
30/08/2023	01/09/2023	Bastarache	Renate	Récent	Paris 5	75005	France	Matin	Célibataire avec un enfant	Genen Shouyu	0	Condiments	Fruits & Légumes	11.05	25	O8,01
29/12/2023	31/12/2023	Benoit	Matti	Habitué	Ivry	94200	France	Soirée	Couple sans enfant	Pavlova	0	Desserts	Plats	12.45	3	O8,82
03/01/2024	04/01/2024	Guidry	Miguel	Nouveau	Paris 13	75013	France	Après-Midi	Célibataire sans enfant	Ikura	0	Poissons et fruits de mer	Frais	22.15	2	16,16
28/01/2024	29/01/2024	Robichau	Karl	Récent	Paris 13	75013	France	Soirée	Célibataire avec deux enfants ou plus	Mishi Kobe Niku	0	Viandes	Plats	69.3	6	47,13
31/01/2024	02/02/2024	Benoit	Matti	Habitué	Ivry	94200	France	Après-Midi	Couple sans enfant	Queso Manchego La Pastora	0	Produits laitiers	Frais	27.15	4	23,88
27/02/2024	28/02/2024	Thibeau	Jose	Récent	Paris 13	75013	France	Soirée	Couple avec deux enfants ou plus	Ikura	0	Poissons et fruits de mer	Frais	22.15	18	16,16
29/02/2024	02/03/2024	Thibeau	Jose	Récent	Paris 13	75013	France	Matin	Couple avec deux enfants ou plus	Alice Mutton	0	Viandes	Plats	27.85	27	23,33
20/07/2022	22/07/2022	Vilatte	Bernardo	Récent	Paris 5	75005	France	Soirée	Célibataire avec deux enfants ou plus	Sir Rodney's Scones	0	Desserts	Plats	5.7	20	O4,98
11/08/2022	13/08/2022	Forest	Giovanni	Nouveau	Ivry	94200	France	Soirée	Couple sans enfant	Guaraná Fantástica	0	Sirops	Boissons	2.55	12	O2,46
22/11/2022	24/11/2022	Simon	Philip	Nouveau	Paris 5	75005	France	Soirée	Couple sans enfant	NuNuCa Nuß-Nougat-Creme	0	Desserts	Plats	8	4	O6,64
31/10/2022	02/11/2022	Gallant	Art	Récent	Paris 13	75013	France	Matin	Célibataire avec deux enfants ou plus	Teatime Chocolate Biscuits	0	Desserts	Plats	5.2	10	O4,72
19/10/2024	20/10/2024	Robichaud	Roland	Récent	Paris 14	75014	France	Soirée	Célibataire avec un enfant	Carnarvon Tigers	0	Poissons et fruits de mer	Frais	35.7	9	29,13
26/10/2024	28/10/2024	Duhon	Jonas	Récent	Ivry	94200	France	Soirée	Célibataire sans enfant	Guaraná Fantástica	0	Sirops	Boissons	2.55	15	O2,46
16/12/2024	17/12/2024	Vilatte	Bernardo	Récent	Paris 5	75005	France	Après-Midi	Célibataire avec deux enfants ou plus	Teatime Chocolate Biscuits	0	Desserts	Plats	5.2	4	O4,72
07/02/2023	10/02/2023	Simon	Philip	Récent	Paris 5	75005	France	Après-Midi	Couple sans enfant	Sir Rodney's Scones	0	Desserts	Plats	5.7	40	O4,98
17/02/2023	19/02/2023	Roy	Pascale	Récent	Le Kremlin-B.	94270	France	Soirée	Couple sans enfant	Teatime Chocolate Biscuits	0	Desserts	Plats	5.2	21	O4,72
23/02/2023	25/02/2023	Forest	Giovanni	Récent	Ivry	94200	France	Soirée	Couple sans enfant	Guaraná Fantástica	0	Sirops	Boissons	2.55	28	O2,46
23/02/2023	25/02/2023	Forest	Giovanni	Récent	Ivry	94200	France	Soirée	Couple sans enfant	NuNuCa Nuß-Nougat-Creme	0	Desserts	Plats	8	12	O6,64
14/05/2023	15/05/2023	Duhon	Jonas	Habitué	Ivry	94200	France	Soirée	Célibataire sans enfant	Guaraná Fantástica	0	Sirops	Boissons	3.2	8	O2,46
28/06/2023	29/06/2023	Bergeron	José	Nouveau	Paris 13	75013	France	Soirée	Célibataire avec un enfant	Alice Mutton	0	Viandes	Plats	27.85	8	23,33
28/06/2023	29/06/2023	Bergeron	José	Nouveau	Paris 13	75013	France	Soirée	Célibataire avec un enfant	Teatime Chocolate Biscuits	0	Desserts	Plats	6.55	10	O4,72
28/06/2023	29/06/2023	Bergeron	José	Nouveau	Paris 13	75013	France	Soirée	Célibataire avec un enfant	Sir Rodney's Scones	0	Desserts	Plats	7.15	6	O4,98
19/07/2023	21/07/2023	Lavallee	Paula	Récent	Paris 13	75013	France	Matin	Couple avec un enfant	Alice Mutton	0	Viandes	Plats	27.85	16	23,33
24/08/2023	25/08/2023	Boutin	Horst	Récent	Paris 5	75005	France	Soirée	Couple avec un enfant	Carnarvon Tigers	0	Poissons et fruits de mer	Frais	44.65	40	29,13
31/08/2023	01/09/2023	Bastarache	Renate	Récent	Paris 5	75005	France	Soirée	Célibataire avec un enfant	Sir Rodney's Marmalade	0	Desserts	Plats	57.85	21	50,8
12/10/2023	13/10/2023	Belanger	Helen	Habitué	Paris 14	75014	France	Matin	Célibataire avec deux enfants ou plus	Teatime Chocolate Biscuits	0	Desserts	Plats	6.55	5	O4,72
12/10/2023	13/10/2023	Belanger	Helen	Habitué	Paris 14	75014	France	Matin	Célibataire avec deux enfants ou plus	Tunnbröd	0	Pâtes et céréales	Plats	6.45	10	O4,52
02/11/2023	03/11/2023	Forest	Giovanni	Habitué	Ivry	94200	France	Après-Midi	Couple sans enfant	Gustaf's Knäckebröd	0	Pâtes et céréales	Plats	15	40	10,22
08/11/2023	10/11/2023	Duhon	Jonas	Habitué	Ivry	94200	France	Soirée	Célibataire sans enfant	Carnarvon Tigers	0	Poissons et fruits de mer	Frais	44.65	8	29,13
20/11/2023	22/11/2023	Vilatte	Bernardo	Habitué	Paris 5	75005	France	Soirée	Célibataire avec deux enfants ou plus	Teatime Chocolate Biscuits	0	Desserts	Plats	6.55	30	O4,72
07/12/2023	09/12/2023	Boutin	Horst	Récent	Paris 5	75005	France	Soirée	Couple avec un enfant	Sir Rodney's Scones	0	Desserts	Plats	7.15	60	O4,98
31/12/2023	03/01/2024	Belanger	Helen	Habitué	Paris 14	75014	France	Matin	Célibataire avec deux enfants ou plus	Tunnbröd	0	Pâtes et céréales	Plats	6.45	5	O4,52
03/01/2024	04/01/2024	Guidry	Miguel	Nouveau	Paris 13	75013	France	Après-Midi	Célibataire sans enfant	Teatime Chocolate Biscuits	0	Desserts	Plats	6.55	7	O4,72
03/02/2024	04/02/2024	Robichaud	Felipe	Récent	Paris 14	75014	France	Soirée	Célibataire avec un enfant	Teatime Chocolate Biscuits	0	Desserts	Plats	6.55	7	O4,72
05/02/2024	06/02/2024	Robichaud	Roland	Habitué	Paris 14	75014	France	Soirée	Célibataire avec un enfant	Alice Mutton	0	Viandes	Plats	27.85	8	23,33
23/02/2024	25/02/2024	Devaux	Paolo	Récent	Ivry	94200	France	Soirée	Couple sans enfant	Teatime Chocolate Biscuits	0	Desserts	Plats	6.55	5	O4,72
24/02/2024	26/02/2024	Thibeau	Jose	Récent	Paris 13	75013	France	Matin	Couple avec deux enfants ou plus	Teatime Chocolate Biscuits	0	Desserts	Plats	6.55	12	O4,72
04/03/2024	06/03/2024	Fontenot	Peter	Habitué	Paris 5	75005	France	Soirée	Couple avec deux enfants ou plus	Sir Rodney's Scones	0	Desserts	Plats	7.15	32	O4,98
05/07/2022	06/07/2022	Toussaint	Mary	Récent	Le Kremlin-B.	94270	France	Après-Midi	Célibataire avec deux enfants ou plus	Gustaf's Knäckebröd	0	Pâtes et céréales	Plats	12	6	10,22
16/07/2022	17/07/2022	Robichaud	Roland	Récent	Paris 14	75014	France	Matin	Célibataire avec un enfant	Mascarpone Fabioli	0	Produits laitiers	Frais	18.3	6	16,17
23/08/2022	25/08/2022	Robichaud	Roland	Récent	Paris 14	75014	France	Après-Midi	Célibataire avec un enfant	Nord-Ost Matjeshering	0	Poissons et fruits de mer	Frais	14.8	60	13,32
25/11/2022	26/11/2022	Simon	Philip	Nouveau	Paris 5	75005	France	Soirée	Couple sans enfant	Gorgonzola Telino	0	Produits laitiers	Frais	7.15	4	O6,48
28/08/2022	29/08/2022	Leboeuf	Maria	Récent	Ivry	94200	France	Soirée	Célibataire avec deux enfants ou plus	Nord-Ost Matjeshering	0	Poissons et fruits de mer	Frais	14.8	35	13,32
28/12/2022	31/12/2022	Robichaud	Roland	Récent	Paris 14	75014	France	Soirée	Célibataire avec un enfant	Rössle Sauerkraut	0	Produits secs	Fruits & Légumes	26	13	23,36
19/10/2024	20/10/2024	Robichaud	Roland	Récent	Paris 14	75014	France	Soirée	Célibataire avec un enfant	Thüringer Rostbratwurst	0	Viandes	Plats	70.7	14	58,4
31/10/2024	03/11/2024	Robichaud	Roland	Récent	Paris 14	75014	France	Matin	Célibataire avec un enfant	Gorgonzola Telino	0	Produits laitiers	Frais	7.15	60	O6,48
15/11/2024	16/11/2024	Rommel	Ann	Nouveau	Paris 14	75014	France	Après-Midi	Célibataire avec deux enfants ou plus	Thüringer Rostbratwurst	0	Viandes	Plats	70.7	21	58,4
21/11/2024	23/11/2024	Forest	Giovanni	Récent	Ivry	94200	France	Après-Midi	Couple sans enfant	Gumbär Gummibärchen	0	Desserts	Plats	17.8	30	15
19/12/2024	20/12/2024	Cyr	André	Récent	Paris 5	75005	France	Après-Midi	Célibataire sans enfant	Gorgonzola Telino	0	Produits laitiers	Frais	7.15	14	O6,48
25/02/2023	26/02/2023	Simon	Philip	Récent	Paris 5	75005	France	Soirée	Couple sans enfant	Nord-Ost Matjeshering	0	Poissons et fruits de mer	Frais	14.8	8	13,32
02/04/2023	05/04/2023	Bideau	Elizabeth	Habitué	Paris 13	75013	France	Matin	Célibataire sans enfant	NuNuCa Nuß-Nougat-Creme	0	Desserts	Plats	8	60	O6,64
23/04/2023	24/04/2023	Simon	Philip	Récent	Paris 5	75005	France	Après-Midi	Couple sans enfant	NuNuCa Nuß-Nougat-Creme	0	Desserts	Plats	10	18	O6,64
05/05/2023	07/05/2023	Robichaud	Roland	Habitué	Paris 14	75014	France	Matin	Célibataire avec un enfant	Rössle Sauerkraut	0	Produits secs	Fruits & Légumes	32.55	35	23,36
17/05/2023	19/05/2023	Bastarache	Renate	Récent	Paris 5	75005	France	Matin	Célibataire avec un enfant	Nord-Ost Matjeshering	0	Poissons et fruits de mer	Frais	18.5	20	13,32
01/06/2023	03/06/2023	Rommel	Ann	Récent	Paris 14	75014	France	Matin	Célibataire avec deux enfants ou plus	Nord-Ost Matjeshering	0	Poissons et fruits de mer	Frais	18.5	15	13,32
04/06/2024	06/06/2024	Bastarache	Renate	Récent	Paris 5	75005	France	Matin	Célibataire avec un enfant	Nord-Ost Matjeshering	0	Poissons et fruits de mer	Frais	18.5	10	13,32
07/06/2024	08/06/2024	Bastarache	Renate	Récent	Paris 5	75005	France	Après-Midi	Célibataire avec un enfant	Gorgonzola Telino	0	Produits laitiers	Frais	8.95	20	O6,48
19/06/2024	20/06/2024	Dumont	Fran	Habitué	Paris 13	75013	France	Matin	Couple avec un enfant	Rössle Sauerkraut	0	Produits secs	Fruits & Légumes	32.55	7	23,36
30/08/2023	01/09/2023	Bastarache	Renate	Récent	Paris 5	75005	France	Matin	Célibataire avec un enfant	Gumbär Gummibärchen	0	Desserts	Plats	22.3	5	15
24/10/2023	25/10/2023	Bergeron	José	Récent	Paris 13	75013	France	Soirée	Célibataire avec un enfant	Thüringer Rostbratwurst	0	Viandes	Plats	88.4	20	58,4
30/10/2023	31/10/2023	Robichaud	Roland	Habitué	Paris 14	75014	France	Soirée	Célibataire avec un enfant	Gumbär Gummibärchen	0	Desserts	Plats	22.3	35	15
16/11/2023	17/11/2023	Melanson	Paula	Habitué	Paris 5	75005	France	Matin	Couple sans enfant	Carnarvon Tigers	0	Poissons et fruits de mer	Frais	44.65	4	29,13
28/11/2023	01/12/2023	Cyr	André	Récent	Paris 5	75005	France	Matin	Célibataire sans enfant	Nord-Ost Matjeshering	0	Poissons et fruits de mer	Frais	18.5	2	13,32
04/01/2024	06/01/2024	Lyonnais	Antonio	Récent	Paris 13	75013	France	Soirée	Célibataire avec un enfant	Gumbär Gummibärchen	0	Desserts	Plats	22.3	30	15
19/01/2024	21/01/2024	Rimbaut	Patricia	Nouveau	Ivry	94200	France	Soirée	Couple avec deux enfants ou plus	Thüringer Rostbratwurst	0	Viandes	Plats	88.4	10	58,4
31/01/2024	02/02/2024	Benoit	Matti	Habitué	Ivry	94200	France	Après-Midi	Couple sans enfant	Guaraná Fantástica	0	Sirops	Boissons	3.2	20	O2,46
02/02/2024	03/02/2024	Robichau	Karl	Récent	Paris 13	75013	France	Après-Midi	Célibataire avec deux enfants ou plus	Alice Mutton	0	Viandes	Plats	27.85	20	23,33
05/02/2024	06/02/2024	Robichaud	Roland	Habitué	Paris 14	75014	France	Soirée	Célibataire avec un enfant	Thüringer Rostbratwurst	0	Viandes	Plats	88.4	12	58,4
