cust_id;fullName;email;signup_date;city;segment;age;mkt_opt_in
C100695;Jules Bernard;user695@example.com;2023-06-02;Bordeaux;basic;27;1
C100129;Camille Thomas;user129@example.com;16/01/2024;Marseille;basic;30;1
C100744;Alex Moreau;user744@example.com;22/04/2024;Lille;plus;30;0
C100710;Alex Leroy;user710@example.com;2024-02-12;Paris;basic;41;1
C100848;Léa Bernard;user848@example.com;2024-05-06;Bordeaux;basic;78;0
C100659;Emma Petit;user659@example.com;22/06/2023;Nantes;basic;73;0
C101171;Noah Moreau;user1171@example.com;2024/01/14;Bordeaux;basic;31;1
C100984;Noah Durand;user984@example.com;2023-12-19;Nantes;basic;52;1
C100126;Emma Bernard;user126@example.com;17/02/2023;Nantes;basic;41;1
C100599;Yanis Moreau;user599@example.com;2024-01-21;Toulouse;plus;71;1
C100672;Omar Robert;user672@example.com;2024/01/17;Toulouse;premium;67;0
C101088;Hugo Moreau;user1088@example.com;26/01/2024;Strasbourg;basic;58;0
C100477;Sarah Moreau;user477@example.com;2023-01-11;Lille;basic;68;1
C100285;Omar Moreau;user285@example.com;16/07/2024;Bordeaux;basic;37;1
C100488;Noah Robert;user488@example.com;2024-04-04;Strasbourg;plus;32;0
C100620;Hugo Martin;user620@example.com;2023/09/18;Marseille;premium;67;1
C101013;Nina Durand;user1013@example.com;2023-07-08;Paris;basic;77;0
C100157;Jules Martin;user157@example.com;2023/12/01;Lyon;basic;39;0
C100391;Sarah Richard;user391@example.com;18/04/2023;Marseille;basic;74;1
C101163;Hugo Leroy;user1163@example.com;15/11/2023;Paris;premium;33;1
C100665;Jules Petit;user665@example.com;21/02/2024;Lille;premium;51;1
C100690;Inès Richard;user690@example.com;20/08/2024;Lyon;basic;46;0
C100643;Inès Petit;user643@example.com;2023-10-16;Bordeaux;premium;67;0
C101028;Emma Durand;user1028@example.com;06/12/2023;Marseille;basic;23;1
C100037;Emma Robert;user37@example.com;2024/05/11;Paris;basic;20;0
C100319;Léa Durand;user319@example.com;2024-04-06;Lille;basic;17;0
C101089;Jules Dubois;user1089@example.com;2023-03-26;Lille;basic;34;0
C100522;Hugo Durand;user522@example.com;2023/04/26;Nantes;plus;60;0
C100719;Jules Bernard;user719@example.com;26/12/2023;Toulouse;premium;49;1
C100116;Inès Leroy;user116@example.com;23/01/2023;Nantes;plus;22;0
C100091;Camille Durand;user91@example.com;2024-04-27;Bordeaux;plus;52;1
C100405;Léa Thomas;user405@example.com;2023/10/28;Strasbourg;basic;45;1
C100577;Nina Leroy;user577@example.com;11/11/2023;Lyon;basic;32;0
C100749;Noah Martin;user749@example.com;05/04/2023;Marseille;premium;64;0
C100462;Sarah Moreau;user462@example.com;25/03/2024;Lyon;plus;53;0
C100794;Alex Thomas;user794@example.com;16/09/2023;Bordeaux;basic;70;1
C100090;Hugo Bernard;user90@example.com;2023/09/19;Lyon;basic;69;1
C100309;Camille Robert;user309@example.com;2023/03/07;Nantes;plus;34;0
C100468;Jules Leroy;user468@example.com;2023/04/19;Toulouse;basic;60;0
C100212;Nina Martin;user212@example.com;2024/04/18;Marseille;plus;54;1
C100788;Léa Bernard;user788@example.com;2023/11/23;Lyon;premium;67;0
C100414;Noah Thomas;user414@example.com;2023-01-11;Paris;plus;67;0
C100169;Nina Robert;user169@example.com;14/01/2023;Nantes;basic;68;1
C100900;Noah Leroy;user900@example.com;2023-01-03;Strasbourg;plus;55;0
C100421;Noah Durand;user421@example.com;2024-02-21;Paris;basic;72;0
C100664;Inès Leroy;user664@example.com;25/12/2023;Bordeaux;plus;28;0
C100595;Jules Dubois;user595@example.com;2024-04-26;Lyon;basic;18;1
C100455;Camille Leroy;user455@example.com;30/11/2023;Lyon;basic;37;1
C100407;Noah Petit;user407@example.com;2023-03-28;Toulouse;basic;64;0
C100280;Inès Thomas;user280@example.com;2023-06-15;Lyon;basic;36;1
C101121;Hugo Petit;user1121@example.com;2023/02/20;Paris;basic;67;1
C101118;Inès Dubois;user1118@example.com;2024-03-09;Bordeaux;basic;59;0
C100464;Hugo Bernard;user464@example.com;2023/01/04;Toulouse;premium;69;1
C100270;Emma Richard;user270@example.com;2023/06/26;Strasbourg;premium;74;1
C100293;Yanis Martin;user293@example.com;2023/07/18;Marseille;plus;78;1
C100490;Sarah Leroy;user490@example.com;13/07/2024;Bordeaux;plus;69;1
C100141;Yanis Thomas;user141@example.com;2023-05-09;Lyon;plus;44;0
C101014;Alex Richard;user1014@example.com;2023-11-08;Paris;premium;53;1
C101023;Camille Thomas;user1023@example.com;2024-05-20;Lille;basic;25;1
C100870;Jules Richard;user870@example.com;2023/10/01;Lyon;premium;38;1
C100060;Léa Durand;user60@example.com;07/07/2024;Marseille;basic;19;1
C101178;Sarah Moreau;user1178@example.com;2023/06/05;Strasbourg;basic;29;1
C101091;Noah Moreau;user1091@example.com;2023-09-26;Marseille;plus;42;1
C100846;Sarah Moreau;user846@example.com;2023/04/04;Lille;basic;72;1
C100545;Camille Robert;user545@example.com;2023-02-02;Strasbourg;plus;41;1
C101094;Camille Martin;user1094@example.com;2023-07-17;Nantes;basic;50;0
C100000;Emma Bernard;user0@example.com;23/02/2023;Strasbourg;plus;55;1
C101166;Jules Petit;user1166@example.com;14/01/2023;Marseille;basic;61;0
C100552;Jules Durand;user552@example.com;2024/05/11;Nantes;premium;23;0
C100183;Sarah Dubois;user183@example.com;2024-02-22;Strasbourg;premium;41;0
C100486;Sarah Durand;user486@example.com;20/07/2023;Lille;basic;34;1
C100315;Noah Dubois;user315@example.com;2024-01-31;Strasbourg;basic;32;0
C100365;Jules Robert;user365@example.com;2023-11-08;Lille;basic;20;0
C100824;Camille Petit;user824@example.com;09/01/2024;Paris;basic;29;1
C100961;Nina Thomas;user961@example.com;2023/09/03;Lyon;basic;26;0
C100940;Yanis Dubois;user940@example.com;19/02/2024;Nantes;premium;64;0
C100853;Emma Bernard;user853@example.com;2023/05/24;Strasbourg;plus;45;1
C100549;Noah Robert;user549@example.com;13/02/2024;Nantes;basic;53;1
C100732;Nina Durand;user732@example.com;06/07/2024;Bordeaux;plus;48;1
C100980;Emma Durand;user980@example.com;2023/12/20;Nantes;plus;28;0
C101170;Léa Durand;user1170@example.com;2024-01-13;Paris;basic;63;1
C100021;Nina Moreau;user21@example.com;11/08/2023;Toulouse;basic;59;1
C100557;Nina Thomas;user557@example.com;2024-06-09;Toulouse;premium;63;1
C100704;Noah Bernard;user704@example.com;19/03/2023;Marseille;plus;50;0
C100232;Omar Richard;user232@example.com;2023-01-12;Lyon;basic;39;1
C100780;Jules Dubois;user780@example.com;2024-06-10;Nantes;premium;50;0
C100066;Omar Petit;user66@example.com;2024-06-27;Paris;basic;45;1
C100439;Léa Robert;user439@example.com;2023-08-27;Marseille;plus;73;1
C101084;Emma Robert;user1084@example.com;01/05/2023;Nantes;basic;24;1
C101180;Noah Martin;user1180@example.com;2023-12-31;Lyon;plus;54;1
C100402;Sarah Moreau;user402@example.com;2023/07/12;Bordeaux;plus;69;1
C100601;Yanis Robert;user601@example.com;12/04/2024;Lille;plus;60;0
C100286;Inès Petit;user286@example.com;07/04/2023;Lyon;premium;69;1
C100492;Yanis Bernard;user492@example.com;28/03/2024;Nantes;basic;37;1
C100649;Emma Robert;user649@example.com;24/05/2024;Lyon;plus;26;1
C100941;Noah Durand;user941@example.com;2023/08/31;Strasbourg;basic;55;0
C100502;Léa Durand;user502@example.com;2024/07/31;Nantes;basic;27;0
C101182;Jules Leroy;user1182@example.com;2024-02-19;Strasbourg;basic;75;1
C100542;Jules Petit;user542@example.com;27/04/2023;Lille;basic;52;1
C100265;Sarah Petit;user265@example.com;2023/12/15;Paris;plus;60;0
C100752;Camille Moreau;user752@example.com;2023/02/21;Paris;plus;57;1
C100398;Yanis Richard;user398@example.com;2023/06/18;Bordeaux;plus;52;1
C100333;Omar Richard;user333@example.com;2024/05/12;Lyon;plus;18;0
C100020;Camille Richard;user20@example.com;2023-10-28;Nantes;basic;50;1
C100484;Jules Robert;user484@example.com;2023/10/05;Marseille;basic;79;1
C101134;Alex Robert;user1134@example.com;04/01/2024;Toulouse;basic;69;1
C100927;Léa Dubois;user927@example.com;2023-06-30;Nantes;basic;22;1
C100596;Camille Moreau;user596@example.com;2023/12/14;Strasbourg;plus;76;1
C100558;Noah Thomas;user558@example.com;2024/04/20;Toulouse;premium;20;1
C100318;Omar Richard;user318@example.com;17/07/2024;Lille;basic;71;0
C101120;Sarah Petit;user1120@example.com;2023-01-09;Paris;basic;25;1
C100963;Jules Bernard;user963@example.com;2023/05/11;Strasbourg;basic;21;0
C100525;Sarah Leroy;user525@example.com;06/07/2023;Bordeaux;basic;41;1
C100540;Yanis Thomas;user540@example.com;2024/03/01;Lille;basic;35;1
C100361;Yanis Robert;user361@example.com;18/06/2024;Marseille;plus;17;0
C100879;Noah Moreau;user879@example.com;2024/01/14;Lyon;basic;18;1
C100197;Sarah Martin;user197@example.com;2023/03/12;Nantes;premium;68;0
C100951;Inès Petit;user951@example.com;2023/07/02;Marseille;basic;29;1
C100593;Léa Petit;user593@example.com;2024/08/10;Marseille;plus;68;0
C100128;Noah Richard;user128@example.com;2023/12/11;Nantes;basic;27;1
C100849;Sarah Durand;user849@example.com;2023/12/30;Nantes;basic;78;0
C100200;Alex Richard;user200@example.com;2023-08-08;Bordeaux;basic;28;1
C100701;Sarah Martin;user701@example.com;2024-01-05;Toulouse;basic;30;0
C100891;Léa Richard;user891@example.com;01/03/2024;Marseille;premium;unknown;1
C100878;Sarah Robert;user878@example.com;2023/11/25;Marseille;basic;55;0
C100148;Emma Durand;user148@example.com;2024-05-08;Nantes;basic;unknown;1
C100568;Camille Durand;user568@example.com;2024-01-21;Paris;basic;58;1
C101008;Camille Richard;user1008@example.com;2024-03-16;Lyon;basic;46;0
C100065;Hugo Bernard;user65@example.com;2023/07/15;Paris;plus;53;1
C100884;Emma Petit;user884@example.com;2024-05-02;Lyon;plus;50;1
C100688;Léa Thomas;user688@example.com;2023-09-25;Paris;premium;71;1
C100982;Emma Dubois;user982@example.com;2023-11-25;Toulouse;plus;72;1
C100271;Yanis Durand;user271@example.com;2023-01-14;Nantes;basic;unknown;1
C100143;Jules Petit;user143@example.com;03/09/2023;Toulouse;plus;71;0
C100669;Noah Dubois;user669@example.com;21/03/2023;Bordeaux;plus;33;1
C100644;Léa Richard;user644@example.com;2024/04/07;Nantes;basic;32;0
C100330;Yanis Thomas;user330@example.com;2023-11-25;Paris;basic;36;1
C100086;Yanis Martin;user86@example.com;28/02/2023;Strasbourg;basic;60;0
C100164;Hugo Moreau;user164@example.com;2023-09-08;Toulouse;basic;76;1
C100335;Noah Dubois;user335@example.com;29/04/2024;Paris;basic;22;1
C101076;Sarah Dubois;user1076@example.com;2024-03-02;Lyon;plus;74;1
C100929;Inès Durand;user929@example.com;2023/12/13;Marseille;basic;42;1
C100950;Camille Martin;user950@example.com;2023-02-26;Marseille;plus;72;1
C101125;Inès Dubois;user1125@example.com;21/05/2024;Bordeaux;premium;22;0
C100625;Hugo Robert;user625@example.com;2023-05-20;Strasbourg;basic;31;1
C100193;Sarah Moreau;user193@example.com;2023-08-06;Nantes;basic;51;1
C101129;Alex Bernard;user1129@example.com;2024/01/25;Lyon;basic;32;1
C100108;Hugo Thomas;user108@example.com;2023-10-10;Lille;basic;67;0
C100470;Alex Petit;user470@example.com;18/03/2024;Bordeaux;basic;27;1
C100171;Inès Robert;user171@example.com;24/02/2023;Marseille;premium;40;1
C100018;Nina Bernard;user18@example.com;2024/05/18;Bordeaux;plus;50;0
C100889;Jules Leroy;user889@example.com;2023/06/12;Paris;basic;29;0
C100155;Hugo Durand;user155@example.com;2024-02-02;Lille;basic;28;0
C100356;Inès Martin;user356@example.com;2023/04/01;Strasbourg;premium;75;1
C101092;Nina Moreau;user1092@example.com;2024-05-20;Lyon;plus;24;1
C100721;Hugo Moreau;user721@example.com;12/07/2024;Toulouse;basic;57;1
C101143;Alex Moreau;user1143@example.com;21/05/2024;Nantes;basic;57;1
C100979;Nina Dubois;user979@example.com;06/12/2023;Lille;premium;24;1
C100928;Omar Bernard;user928@example.com;09/09/2023;Paris;basic;42;0
C100322;Omar Moreau;user322@example.com;2024/01/04;Lyon;premium;55;1
C100016;Nina Robert;user16@example.com;2023-11-04;Toulouse;basic;71;1
C100519;Yanis Petit;user519@example.com;2023/12/23;Toulouse;plus;unknown;1
C100075;Yanis Martin;user75@example.com;2023-10-13;Nantes;basic;58;1
C100411;Yanis Martin;user411@example.com;2023-05-18;Lyon;plus;25;0
C100451;Emma Martin;user451@example.com;08/07/2024;Paris;basic;43;1
C100986;Inès Martin;user986@example.com;2024-01-05;Marseille;plus;57;0
C101106;Omar Durand;user1106@example.com;2023/05/27;Marseille;basic;45;1
C101119;Camille Martin;user1119@example.com;2023-10-23;Bordeaux;premium;74;1
C100241;Camille Moreau;user241@example.com;2023/12/17;Toulouse;basic;26;1
C101198;Emma Durand;user1198@example.com;2024-04-26;Marseille;basic;64;0
C100567;Hugo Richard;user567@example.com;2023-05-30;Lille;basic;53;1
C100994;Alex Richard;user994@example.com;2023/11/14;Nantes;plus;41;0
C100970;Emma Petit;user970@example.com;2023/06/29;Paris;basic;37;1
C101140;Sarah Richard;user1140@example.com;2024/06/12;Lille;basic;32;1
C101164;Jules Richard;user1164@example.com;07/11/2023;Bordeaux;plus;63;1
C100702;Jules Petit;user702@example.com;2023-04-11;Nantes;plus;18;1
C100615;Hugo Richard;user615@example.com;2024-01-19;Paris;basic;30;1
C100946;Léa Moreau;user946@example.com;2024-08-07;Lyon;basic;43;0
C100735;Nina Petit;user735@example.com;07/02/2024;Lyon;basic;59;1
C100481;Emma Dubois;user481@example.com;12/05/2024;Paris;plus;61;1
C100856;Yanis Moreau;user856@example.com;27/05/2023;Nantes;premium;69;1
C100089;Alex Thomas;user89@example.com;14/05/2024;Toulouse;plus;46;1
C100814;Omar Petit;user814@example.com;11/04/2024;Nantes;basic;52;1
C100399;Jules Durand;user399@example.com;2023-07-06;Nantes;basic;76;1
C100948;Camille Robert;user948@example.com;22/07/2024;Bordeaux;plus;75;1
C100082;Jules Richard;user82@example.com;2023-04-07;Lille;basic;47;1
C101058;Léa Moreau;user1058@example.com;2023/09/12;Paris;basic;37;1
C100592;Jules Thomas;user592@example.com;24/05/2023;Marseille;basic;67;1
C100550;Hugo Moreau;user550@example.com;2024-04-26;Strasbourg;plus;30;1
C100633;Nina Petit;user633@example.com;2023-08-16;Paris;basic;48;1
C100194;Inès Richard;user194@example.com;2024/07/29;Lyon;plus;57;1
C100251;Nina Petit;user251@example.com;24/10/2023;Paris;plus;25;1
C100880;Jules Richard;user880@example.com;2023-02-21;Bordeaux;basic;28;1
C100419;Noah Leroy;user419@example.com;2023/10/31;Strasbourg;basic;38;1
C100885;Jules Moreau;user885@example.com;16/03/2024;Nantes;basic;44;0
C101038;Omar Leroy;user1038@example.com;2023/09/20;Lille;basic;33;1
C100374;Camille Moreau;user374@example.com;2024/06/15;Lyon;basic;29;1
C100311;Nina Richard;user311@example.com;2024/02/08;Lyon;basic;60;1
C100456;Omar Moreau;user456@example.com;30/03/2023;Bordeaux;basic;19;1
C100642;Camille Dubois;user642@example.com;2024/05/27;Bordeaux;basic;75;1
C100773;Inès Petit;user773@example.com;06/03/2024;Marseille;basic;59;1
C100823;Omar Leroy;user823@example.com;26/01/2024;Toulouse;basic;71;0
C101187;Noah Bernard;user1187@example.com;2023-12-26;Strasbourg;basic;51;0
C100418;Nina Petit;user418@example.com;2023/06/27;Paris;premium;19;0
C100526;Jules Robert;user526@example.com;2024-07-08;Strasbourg;basic;52;0
C100440;Noah Dubois;user440@example.com;2024-08-06;Nantes;plus;38;0
C101077;Jules Richard;user1077@example.com;10/04/2023;Paris;basic;31;1
C100768;Jules Moreau;user768@example.com;25/03/2023;Bordeaux;basic;36;1
C100512;Sarah Petit;user512@example.com;2024/05/19;Strasbourg;premium;29;1
C101044;Jules Bernard;user1044@example.com;2024-03-01;Nantes;basic;71;1
C100677;Emma Richard;user677@example.com;2023/02/20;Strasbourg;basic;61;1
C100351;Noah Leroy;user351@example.com;27/01/2023;Bordeaux;basic;55;0
C100882;Emma Dubois;user882@example.com;2023-09-27;Marseille;plus;40;1
C100504;Hugo Petit;user504@example.com;2023/06/14;Strasbourg;basic;30;1
C101103;Sarah Durand;user1103@example.com;2023/04/01;Strasbourg;basic;65;0
C100367;Alex Robert;user367@example.com;09/07/2023;Toulouse;basic;28;1
C100250;Léa Thomas;user250@example.com;18/04/2023;Marseille;plus;43;1
C100308;Sarah Durand;user308@example.com;09/07/2023;Bordeaux;basic;36;1
